sku,supplier,supplier_sku,cost_gbp,pack_size,pack_size_raw,price_is_placeholder,sku_is_placeholder,invoice_name
BAR-STRW-SYRP,Amazon,NOSKU,14.42,,,,yes,Bristol Syrup Company No.16 Strawberry Shrub
BAR-STRW-SYRP,LWC Drinks,50006285,7.86,0.75,75CL,,,BRISTOL SYRUP STRAWBERRY
BEAV-GAMA-RAY,Booker,292357,35.99,,6 4x330ml,,,Beavertown Gamma Ray
BEAV-GAMA-RAY,LWC Drinks,26633328,23.01,,,,,BEAVERTOWN GAMMA RAY 12X330ML
BEAV-GAMA-RAY,LWC Drinks,NOSKU,23.51,,12X330ML,,yes,Beavertown Gamma Ray
BEAV-GAMA-RAY,Makro,BTGAM,23.99,,12 X 330ML,,,BEAVERTOWN GAMMA RAY APA 12 X 330ML CANS
BEER-ALSK-CIDR,Aldi,739754,3.99,1.32,4X330ML,,,ALSKA 3.4%
BEER-BIRR-MORE,Booker,232387,23.49,,24 330ml,,,Birra Moretti NRB UK
BEER-BIRR-MORE,Brakes,115483,30.09,,1x24,,,Birra Moretti
BEER-BIRR-MORE,Brakes,A 115483,0.10,,1X24,yes,,Birra Moretti
BEER-BIRR-MORE,Brakes,A115483,0.10,,24 x 330ml,yes,,Birra Moretti Lager Beer
BEER-BIRR-MORE,LWC Drinks,26680023,32.79,,24X330ML,,,BIRRA MORETTI 24X330ML NRB
BEER-CORO-EXTR,LWC Drinks,26120023,26.99,,24X330ML NRB,,,CORONA EXTRA
BEET-LABN-NUTS,The red burn farm,NOSKU,12.00,,,,yes,"Beetroot, Labneh, Candied Nuts"
BIOD-BIN-LINR,Amazon,B0CBK5C2KL,14.99,,,,,"60 x 50 Litre Bin Lines, 13Gallon/50L large Garbage Bags Big Food Waste Bags for Kitchen Office Bathroom ASIN:B0CBK5C2KL"
BIOD-BIN-LINR,Amazon,B0CBK8GWQQ,13.67,,,,,"80 x 30 Litre Bin Bags, 8Gallon/30L Food Waste Bags 4 Roll Caddy Bin Liners for Kitchen Office Bathroom (60x65cm)"
BIOD-BIN-LINR,Amazon,RTBQJ-AT,23.01,,120 Bags,,,"100% Biodegradable Bin Liners, 60L Biodegradable Food Waste Bags, Super Sturdy Bin Bags"
BLAK-BIRO-PENS,Tesco,NOSKU,4.00,,10 Pack,,yes,Bic Stationery Cristal Pens Black
BLAK-EDIB-MARK,Amazon,B0F9W5W1T6,5.99,,3 Pack,,,"3 Pack Black Edible Ink Markers Set, Food-Grade Baking Tools for Cake Decorating, Cookies, Frosting & Fondant, Dual Tip Fine & Thick Food Coloring Pens, Safe for Home & Professional Bakers"
BLAK-EDIB-MARK,Amazon,FANWINKJ,6.99,,,,,"3pcs Black Edible Markers,Dual-ended Fondant Decorating Pen, Safe Food Drawing Tool for Creative Family Bonding, Professional Cake Design"
BLAK-FACE-MASK,Amazon,B08P7TYX46,6.32,100,100,,,"Aspect Black Disposable Face Masks, Comfortable Dust Masks for Nose, Mouth Coverings with Sturdy Elastic Ear Loops Ideal for Adults and Children"
BLAK-PAPR-STRW,Brakes,10230,13.29,,4x250,,,Black Paper Straw 6mmx200mm
BLAK-PAPR-STRW,Brakes,129916,16.51,,,,,Black Paper Cocktail Straw
BLAK-PAPR-STRW,Brakes,130698,13.36,,4x250,,,Black Paper Straw 6mmx200mm
BLAK-PAPR-STRW,Brakes,NOSKU,16.51,,4x250,,yes,Black Paper Cocktail Straw 4x250
BLAK-PEPR-SACH,Brakes,A 89408,0.10,,1 x 2000,yes,,Brakes Black pepper
BLAK-REFU-SACK,Amazon,B0CBK5C2KL,11.66,,60 x 50 Litre,,,"60 x 50 Litre Bin Lines, 13Gallon/50L large Garbage Bags Big Food Waste Bags for Kitchen Office Bathroom"
BLAK-REFU-SACK,Amazon,NOSKU,17.99,,,,yes,"60 x 50 Litre Bin Lines, 13Gallon/50L large Garbage Bags Big Food Waste Bags for Kitchen Office Bathroom"
BLAK-REFU-SACK,Brakes,10678,26.87,,100x1,,,Black Sack Compactor (P B111)
BLAK-REFU-SACK,Brakes,124230,15.67,,1x100,,,Black Compactor Sack (P B116)
BLAK-REFU-SACK,Brakes,151084,8.49,,1x200,,,Black H/Duty Refuse Sack (P/B106)
BLAK-REFU-SACK,Brakes,21357,5.19,,100x1,,,Black Back Compactor (P B111)
BLAK-REFU-SACK,Brakes,28990,11.29,,1x200,,,Black H/Duty Refuse Sack
BLAK-REFU-SACK,Brakes,301,27.01,,100x1,,,Black Sack Compactor (P B111)
BLAK-REFU-SACK,Brakes,58919,16.38,,100x1,,,Black Sack Compactor (P B111)
BLAK-REFU-SACK,Brakes,87722,21.97,,1x100,,,Black Ex Heavy Duty Sacks (PB114)
